date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:48:59	52417/52417	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2001:48:58%20GMT	https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nhafa71.html	(from )
08:48:59	38/38	---M-Z	200	added ('OK')	text/plain	etag:%22ab42c7392679d71:0%22	https://medlatec.vn/robots.txt		(from )
08:48:59	488038/488038	---M--	200	added ('OK')	image/jpeg	etag:%22099d31b988d51:0%22	https://medlatec.vn/Content/images/banner/laymautainha.jpg	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/banner/laymautainha.jpg	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:48:59	1098224/1098224	---M--	200	added ('OK')	image/png	etag:%225d92eeee937d71:0%22	https://medlatec.vn/Content/images/AtHome/images/athome/Bannermb.png	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/AtHome/images/athome/Bannermb.png	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:00	52417/52417	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2001:48:59%20GMT	https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha.html	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:00	155760/155760	---M-Z	200	added ('OK')	text/css	etag:%2280fe36d6b535d71:0%22	https://medlatec.vn/Content/images/AtHome/lib/bootstrap/css/bootstrap.min.css	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/AtHome/lib/bootstrap/css/bootstrap.min.css	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:00	3353/3353	---M-Z	200	added ('OK')	text/css	etag:%2280fe36d6b535d71:0%22	https://medlatec.vn/Content/images/AtHome/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/AtHome/lib/owlcarousel/assets/owl.carousel.min.css	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:01	169485/169485	---M-Z	200	added ('OK')	text/css	etag:%2280469c60c1ddd71:0%22	https://medlatec.vn/Content/images/AtHome/css/styles_athome.css	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/AtHome/css/styles_athome.css	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:01	7550/7550	---M-Z	200	added ('OK')	text/css	etag:%22272045d663acd71:0%22	https://medlatec.vn/Content/images/AtHome/css/responsive_athome.css	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/images/AtHome/css/responsive_athome.css	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
08:49:01	7889/7889	---M-Z	200	added ('OK')	application/javascript	etag:%220a32ecebc60d71:0%22	https://medlatec.vn/Content/js/lazysizes.min.js	C:/Users/admin/Desktop/examples/meditec/medlatec.vn/Content/js/lazysizes.min.js	(from https://medlatec.vn/dich-vu/xet-nghiem-lay-mau-tai-nha?fbclid=IwAR1We2Ccv0pxPxQcUnedcLJnRCUxWsptxrlCJciW4FDnlu_wuTrLEigxIMY)
